Latitude,Longitude,Height,Concentration,Wind Velocity,Wind Angle
45.529724,10.174458,0,10.3,0.2,7
45.529808,10.174162,0,26.3,0.2,7
45.529808,10.174162,0,11.9,0.2,7
45.529816,10.1741905,0,11.3,0.2,7
45.529816,10.174188,0,20.9,0.2,7
45.529816,10.174185,0,22.1,0.2,7
45.529816,10.174186,0,24.7,0.2,7
45.529816,10.174188,0,29.2,0.2,7
45.529816,10.174188,0,72.6,0.2,7
45.529816,10.174189,0,75.5,0.2,7
45.529816,10.174189,0,53.5,0.2,7
45.529816,10.174189,0,227.1,0.2,7
45.529816,10.174189,0,248.9,0.2,7
45.529816,10.174189,0,172,0.2,7
45.52983,10.174186,0,113.3,0.2,7
45.529835,10.174183,0,65,0.2,7
45.52984,10.174182,0,37.4,0.2,7
45.52984,10.174182,0,18.1,0.2,7
45.52984,10.174182,0,51.9,0.2,7
45.52984,10.174182,0,73.6,0.2,7
45.52984,10.174182,0,73.5,0.2,7
45.52984,10.174182,0,56.1,0.2,7
45.52984,10.174182,0,38.2,0.2,7
45.52984,10.174182,0,26.1,0.2,7
45.52984,10.174182,0,16.7,0.2,7
45.52984,10.174182,0,10.8,0.2,7
45.52984,10.174182,0,14.3,0.2,7
45.52984,10.174182,0,15.4,0.2,7
45.52984,10.174182,0,11.8,0.2,7
45.52984,10.174182,0,14.6,0.2,7
45.52984,10.174182,0,19.3,0.2,7
45.52984,10.174182,0,25.9,0.2,7
45.52984,10.174182,0,24.4,0.2,7
45.52984,10.174182,0,190.7,0.2,7
45.52984,10.174182,0,419.5,0.2,7
45.52984,10.174182,0,458.2,0.2,7
45.52984,10.174182,0,313.4,0.2,7
45.52984,10.174182,0,187.6,0.2,7
45.52984,10.174182,0,174.8,0.2,7
45.52984,10.174182,0,221,0.2,7
45.52984,10.174182,0,405.8,0.2,7
45.52984,10.174182,0,521.6,0.2,7
45.52984,10.174182,0,491.2,0.2,7
45.52984,10.174182,0,298.5,0.2,7
45.52984,10.174182,0,168.9,0.2,7
45.52984,10.174182,0,87.7,0.2,7
45.52984,10.174182,0,44.4,0.2,7
45.52984,10.174182,0,24.4,0.2,7
