Latitude,Longitude,Height,Stability,Sensor Measurement,Forward-Model-Concentration
45.529724,10.174458,0.000000,0,0.007416,0.000000
45.529724,10.174458,0.000000,1,0.007416,0.000000
45.529724,10.174458,0.000000,2,0.007416,0.000000
45.529724,10.174458,0.000000,3,0.007416,0.000000
45.529724,10.174458,0.000000,4,0.007416,0.000000
45.529724,10.174458,0.000000,5,0.007416,0.000000
45.529808,10.174162,0.000000,0,0.018936,0.000000
45.529808,10.174162,0.000000,1,0.018936,0.000000
45.529808,10.174162,0.000000,2,0.018936,0.000000
45.529808,10.174162,0.000000,3,0.018936,0.000000
45.529808,10.174162,0.000000,4,0.018936,0.000000
45.529808,10.174162,0.000000,5,0.018936,0.000000
45.529808,10.174162,0.000000,0,0.008568,0.000000
45.529808,10.174162,0.000000,1,0.008568,0.000000
45.529808,10.174162,0.000000,2,0.008568,0.000000
45.529808,10.174162,0.000000,3,0.008568,0.000000
45.529808,10.174162,0.000000,4,0.008568,0.000000
45.529808,10.174162,0.000000,5,0.008568,0.000000
45.529816,10.174190,0.000000,0,0.008136,0.000000
45.529816,10.174190,0.000000,1,0.008136,0.000000
45.529816,10.174190,0.000000,2,0.008136,0.000000
45.529816,10.174190,0.000000,3,0.008136,0.000000
45.529816,10.174190,0.000000,4,0.008136,0.000000
45.529816,10.174190,0.000000,5,0.008136,0.000000
45.529816,10.174188,0.000000,0,0.015048,0.000000
45.529816,10.174188,0.000000,1,0.015048,0.000000
45.529816,10.174188,0.000000,2,0.015048,0.000000
45.529816,10.174188,0.000000,3,0.015048,0.000000
45.529816,10.174188,0.000000,4,0.015048,0.000000
45.529816,10.174188,0.000000,5,0.015048,0.000000
45.529816,10.174185,0.000000,0,0.015912,0.000000
45.529816,10.174185,0.000000,1,0.015912,0.000000
45.529816,10.174185,0.000000,2,0.015912,0.000000
45.529816,10.174185,0.000000,3,0.015912,0.000000
45.529816,10.174185,0.000000,4,0.015912,0.000000
45.529816,10.174185,0.000000,5,0.015912,0.000000
45.529816,10.174186,0.000000,0,0.017784,0.000000
45.529816,10.174186,0.000000,1,0.017784,0.000000
45.529816,10.174186,0.000000,2,0.017784,0.000000
45.529816,10.174186,0.000000,3,0.017784,0.000000
45.529816,10.174186,0.000000,4,0.017784,0.000000
45.529816,10.174186,0.000000,5,0.017784,0.000000
45.529816,10.174188,0.000000,0,0.021024,0.000000
45.529816,10.174188,0.000000,1,0.021024,0.000000
45.529816,10.174188,0.000000,2,0.021024,0.000000
45.529816,10.174188,0.000000,3,0.021024,0.000000
45.529816,10.174188,0.000000,4,0.021024,0.000000
45.529816,10.174188,0.000000,5,0.021024,0.000000
45.529816,10.174188,0.000000,0,0.052272,0.000000
45.529816,10.174188,0.000000,1,0.052272,0.000000
45.529816,10.174188,0.000000,2,0.052272,0.000000
45.529816,10.174188,0.000000,3,0.052272,0.000000
45.529816,10.174188,0.000000,4,0.052272,0.000000
45.529816,10.174188,0.000000,5,0.052272,0.000000
45.529816,10.174189,0.000000,0,0.054360,0.000000
45.529816,10.174189,0.000000,1,0.054360,0.000000
45.529816,10.174189,0.000000,2,0.054360,0.000000
45.529816,10.174189,0.000000,3,0.054360,0.000000
45.529816,10.174189,0.000000,4,0.054360,0.000000
45.529816,10.174189,0.000000,5,0.054360,0.000000
45.529816,10.174189,0.000000,0,0.038520,0.000000
45.529816,10.174189,0.000000,1,0.038520,0.000000
45.529816,10.174189,0.000000,2,0.038520,0.000000
45.529816,10.174189,0.000000,3,0.038520,0.000000
45.529816,10.174189,0.000000,4,0.038520,0.000000
45.529816,10.174189,0.000000,5,0.038520,0.000000
45.529816,10.174189,0.000000,0,0.163512,0.000000
45.529816,10.174189,0.000000,1,0.163512,0.000000
45.529816,10.174189,0.000000,2,0.163512,0.000000
45.529816,10.174189,0.000000,3,0.163512,0.000000
45.529816,10.174189,0.000000,4,0.163512,0.000000
45.529816,10.174189,0.000000,5,0.163512,0.000000
45.529816,10.174189,0.000000,0,0.179208,0.000000
45.529816,10.174189,0.000000,1,0.179208,0.000000
45.529816,10.174189,0.000000,2,0.179208,0.000000
45.529816,10.174189,0.000000,3,0.179208,0.000000
45.529816,10.174189,0.000000,4,0.179208,0.000000
45.529816,10.174189,0.000000,5,0.179208,0.000000
45.529816,10.174189,0.000000,0,0.123840,0.000000
45.529816,10.174189,0.000000,1,0.123840,0.000000
45.529816,10.174189,0.000000,2,0.123840,0.000000
45.529816,10.174189,0.000000,3,0.123840,0.000000
45.529816,10.174189,0.000000,4,0.123840,0.000000
45.529816,10.174189,0.000000,5,0.123840,0.000000
45.529830,10.174186,0.000000,0,0.081576,0.000000
45.529830,10.174186,0.000000,1,0.081576,0.000000
45.529830,10.174186,0.000000,2,0.081576,0.000000
45.529830,10.174186,0.000000,3,0.081576,0.000000
45.529830,10.174186,0.000000,4,0.081576,0.000000
45.529830,10.174186,0.000000,5,0.081576,0.000000
45.529835,10.174183,0.000000,0,0.046800,0.000000
45.529835,10.174183,0.000000,1,0.046800,0.000000
45.529835,10.174183,0.000000,2,0.046800,0.000000
45.529835,10.174183,0.000000,3,0.046800,0.000000
45.529835,10.174183,0.000000,4,0.046800,0.000000
45.529835,10.174183,0.000000,5,0.046800,0.000000
45.529840,10.174182,0.000000,0,0.026928,0.000000
45.529840,10.174182,0.000000,1,0.026928,0.000000
45.529840,10.174182,0.000000,2,0.026928,0.000000
45.529840,10.174182,0.000000,3,0.026928,0.000000
45.529840,10.174182,0.000000,4,0.026928,0.000000
45.529840,10.174182,0.000000,5,0.026928,0.000000
45.529840,10.174182,0.000000,0,0.013032,0.000000
45.529840,10.174182,0.000000,1,0.013032,0.000000
45.529840,10.174182,0.000000,2,0.013032,0.000000
45.529840,10.174182,0.000000,3,0.013032,0.000000
45.529840,10.174182,0.000000,4,0.013032,0.000000
45.529840,10.174182,0.000000,5,0.013032,0.000000
45.529840,10.174182,0.000000,0,0.037368,0.000000
45.529840,10.174182,0.000000,1,0.037368,0.000000
45.529840,10.174182,0.000000,2,0.037368,0.000000
45.529840,10.174182,0.000000,3,0.037368,0.000000
45.529840,10.174182,0.000000,4,0.037368,0.000000
45.529840,10.174182,0.000000,5,0.037368,0.000000
45.529840,10.174182,0.000000,0,0.052992,0.000000
45.529840,10.174182,0.000000,1,0.052992,0.000000
45.529840,10.174182,0.000000,2,0.052992,0.000000
45.529840,10.174182,0.000000,3,0.052992,0.000000
45.529840,10.174182,0.000000,4,0.052992,0.000000
45.529840,10.174182,0.000000,5,0.052992,0.000000
45.529840,10.174182,0.000000,0,0.052920,0.000000
45.529840,10.174182,0.000000,1,0.052920,0.000000
45.529840,10.174182,0.000000,2,0.052920,0.000000
45.529840,10.174182,0.000000,3,0.052920,0.000000
45.529840,10.174182,0.000000,4,0.052920,0.000000
45.529840,10.174182,0.000000,5,0.052920,0.000000
45.529840,10.174182,0.000000,0,0.040392,0.000000
45.529840,10.174182,0.000000,1,0.040392,0.000000
45.529840,10.174182,0.000000,2,0.040392,0.000000
45.529840,10.174182,0.000000,3,0.040392,0.000000
45.529840,10.174182,0.000000,4,0.040392,0.000000
45.529840,10.174182,0.000000,5,0.040392,0.000000
45.529840,10.174182,0.000000,0,0.027504,0.000000
45.529840,10.174182,0.000000,1,0.027504,0.000000
45.529840,10.174182,0.000000,2,0.027504,0.000000
45.529840,10.174182,0.000000,3,0.027504,0.000000
45.529840,10.174182,0.000000,4,0.027504,0.000000
45.529840,10.174182,0.000000,5,0.027504,0.000000
45.529840,10.174182,0.000000,0,0.018792,0.000000
45.529840,10.174182,0.000000,1,0.018792,0.000000
45.529840,10.174182,0.000000,2,0.018792,0.000000
45.529840,10.174182,0.000000,3,0.018792,0.000000
45.529840,10.174182,0.000000,4,0.018792,0.000000
45.529840,10.174182,0.000000,5,0.018792,0.000000
45.529840,10.174182,0.000000,0,0.012024,0.000000
45.529840,10.174182,0.000000,1,0.012024,0.000000
45.529840,10.174182,0.000000,2,0.012024,0.000000
45.529840,10.174182,0.000000,3,0.012024,0.000000
45.529840,10.174182,0.000000,4,0.012024,0.000000
45.529840,10.174182,0.000000,5,0.012024,0.000000
45.529840,10.174182,0.000000,0,0.007776,0.000000
45.529840,10.174182,0.000000,1,0.007776,0.000000
45.529840,10.174182,0.000000,2,0.007776,0.000000
45.529840,10.174182,0.000000,3,0.007776,0.000000
45.529840,10.174182,0.000000,4,0.007776,0.000000
45.529840,10.174182,0.000000,5,0.007776,0.000000
45.529840,10.174182,0.000000,0,0.010296,0.000000
45.529840,10.174182,0.000000,1,0.010296,0.000000
45.529840,10.174182,0.000000,2,0.010296,0.000000
45.529840,10.174182,0.000000,3,0.010296,0.000000
45.529840,10.174182,0.000000,4,0.010296,0.000000
45.529840,10.174182,0.000000,5,0.010296,0.000000
45.529840,10.174182,0.000000,0,0.011088,0.000000
45.529840,10.174182,0.000000,1,0.011088,0.000000
45.529840,10.174182,0.000000,2,0.011088,0.000000
45.529840,10.174182,0.000000,3,0.011088,0.000000
45.529840,10.174182,0.000000,4,0.011088,0.000000
45.529840,10.174182,0.000000,5,0.011088,0.000000
45.529840,10.174182,0.000000,0,0.008496,0.000000
45.529840,10.174182,0.000000,1,0.008496,0.000000
45.529840,10.174182,0.000000,2,0.008496,0.000000
45.529840,10.174182,0.000000,3,0.008496,0.000000
45.529840,10.174182,0.000000,4,0.008496,0.000000
45.529840,10.174182,0.000000,5,0.008496,0.000000
45.529840,10.174182,0.000000,0,0.010512,0.000000
45.529840,10.174182,0.000000,1,0.010512,0.000000
45.529840,10.174182,0.000000,2,0.010512,0.000000
45.529840,10.174182,0.000000,3,0.010512,0.000000
45.529840,10.174182,0.000000,4,0.010512,0.000000
45.529840,10.174182,0.000000,5,0.010512,0.000000
45.529840,10.174182,0.000000,0,0.013896,0.000000
45.529840,10.174182,0.000000,1,0.013896,0.000000
45.529840,10.174182,0.000000,2,0.013896,0.000000
45.529840,10.174182,0.000000,3,0.013896,0.000000
45.529840,10.174182,0.000000,4,0.013896,0.000000
45.529840,10.174182,0.000000,5,0.013896,0.000000
45.529840,10.174182,0.000000,0,0.018648,0.000000
45.529840,10.174182,0.000000,1,0.018648,0.000000
45.529840,10.174182,0.000000,2,0.018648,0.000000
45.529840,10.174182,0.000000,3,0.018648,0.000000
45.529840,10.174182,0.000000,4,0.018648,0.000000
45.529840,10.174182,0.000000,5,0.018648,0.000000
45.529840,10.174182,0.000000,0,0.017568,0.000000
45.529840,10.174182,0.000000,1,0.017568,0.000000
45.529840,10.174182,0.000000,2,0.017568,0.000000
45.529840,10.174182,0.000000,3,0.017568,0.000000
45.529840,10.174182,0.000000,4,0.017568,0.000000
45.529840,10.174182,0.000000,5,0.017568,0.000000
45.529840,10.174182,0.000000,0,0.137304,0.000000
45.529840,10.174182,0.000000,1,0.137304,0.000000
45.529840,10.174182,0.000000,2,0.137304,0.000000
45.529840,10.174182,0.000000,3,0.137304,0.000000
45.529840,10.174182,0.000000,4,0.137304,0.000000
45.529840,10.174182,0.000000,5,0.137304,0.000000
45.529840,10.174182,0.000000,0,0.302040,0.000000
45.529840,10.174182,0.000000,1,0.302040,0.000000
45.529840,10.174182,0.000000,2,0.302040,0.000000
45.529840,10.174182,0.000000,3,0.302040,0.000000
45.529840,10.174182,0.000000,4,0.302040,0.000000
45.529840,10.174182,0.000000,5,0.302040,0.000000
45.529840,10.174182,0.000000,0,0.329904,0.000000
45.529840,10.174182,0.000000,1,0.329904,0.000000
45.529840,10.174182,0.000000,2,0.329904,0.000000
45.529840,10.174182,0.000000,3,0.329904,0.000000
45.529840,10.174182,0.000000,4,0.329904,0.000000
45.529840,10.174182,0.000000,5,0.329904,0.000000
45.529840,10.174182,0.000000,0,0.225648,0.000000
45.529840,10.174182,0.000000,1,0.225648,0.000000
45.529840,10.174182,0.000000,2,0.225648,0.000000
45.529840,10.174182,0.000000,3,0.225648,0.000000
45.529840,10.174182,0.000000,4,0.225648,0.000000
45.529840,10.174182,0.000000,5,0.225648,0.000000
45.529840,10.174182,0.000000,0,0.135072,0.000000
45.529840,10.174182,0.000000,1,0.135072,0.000000
45.529840,10.174182,0.000000,2,0.135072,0.000000
45.529840,10.174182,0.000000,3,0.135072,0.000000
45.529840,10.174182,0.000000,4,0.135072,0.000000
45.529840,10.174182,0.000000,5,0.135072,0.000000
45.529840,10.174182,0.000000,0,0.125856,0.000000
